;;;;;;;;;;;;;
IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.;
paradižnik harmony;S252;1kg;3,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
paradižnik volovsko srce lušt;S255;1kg;4,79 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Paradajz d.o.o.;159;Renkovci 57 c, 9224 Turnišèe, Slovenija;02 572 22 50;
paradižnik papeletto;S258;1kg;5,48 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
paradižnik daterino;S261;1kg;5,96 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;470;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69;
paradižnik monterosa;S264;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio èešnjev paradižnik spar natur*pur;S267;1kg;4,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
èešnjev paradižnik;S270;1kg;2,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
èešnjev paradižnik;S273;1kg;3,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;470;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69;
paradižnik èešnjev koktel;S276;1kg;3,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Osatina Grupa d.o.o.;964;Kralja Tomislava 91, 31402 Semeljci, Hrvaška;00385 31 856 999;
paradižnik bumbolino snack;S279;1kg;9,95 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio paradižnik grapolo;S282;1kg;6,78 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana;080 82 44;
paradižnik v grozd lušt, slovenija;S285;1kg;3,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Paradajz d.o.o.;159;Renkovci 57 c, 9224 Turnišèe, Slovenija;02 572 22 50;
paradižnik grapolo;S288;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio paradižnik;S291;1kg;5,78 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
paradižnik;S294;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio paprika spar natur*pur;S297;1kg;9,23 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio cvetaèa spar natur*pur;S300;1kg;6,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana;080 82 44;
zeleni šparglji;S303;1kg;4,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
cvetaèa;S306;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
beli šparglji;S309;1kg;6,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
brokoli;S312;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio brokoli;S315;1kg;5,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;470;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69;
zeleni šparglji ramovž;S318;1kg;9,78 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
zeleni šparglji;S321;1kg;7,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
divji šparglji;S324;1kg;49,90 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Darsad d.o.o.;505;Zgornja Pohanca 4, 8272 Zdole, Slovenija;07 477 85 80;
kislo zelje za sarmo;S327;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
kitajsko zelje;S330;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
zelje belo;S333;1kg;0,59 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
mlado zelje;S336;1kg;0,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
rdeèe zelje;S339;1kg;0,79 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
ohrovt;S342;1kg;1,09 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Kuhar božidar, Samec Vinko, Kralj Marta, Zupan Primož, Zajc Janez, Zupanèiè Franc;105;/;/;
zelena gomolj;S345;1kg;1,39 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Burgox d.o.o.;458;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68;
zelena stebelna;S348;1kg;1,69 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Kralj Stanislav, Kveder Mirjana;106;/;/;
kislo zelje;S351;1kg;1,59 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
kisla repa;S354;1kg;2,58 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
kislo zelje grunt;S357;1kg;2,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;598;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00;
por;S360;1kg;1,79 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Zelenjava Forminka d.o.o.;268;Formin 32C, 2272 Gorišnica, Slovenija;02 743 50 26;
kisla repa natureta;S363;1kg;2,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;598;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00;
kislo zelje natureta;S366;1kg;2,13 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;598;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00;
rdeèe zelje machland;S369;1kg;1,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
kislo zelje;S372;1kg;2,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
kislo zelje spar vital;S375;1kg;1,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio kisla repa natureta;S378;1kg;4,43 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;598;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00;
jagode;S381;1kg;5,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
kivi;S384;1kg;1,79 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;470;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69;
kivi;S387;1kg;3,29 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio kivi spar natur*pur;S390;1kg;5,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
breskve;S393;1kg;6,98 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
melone;S396;1kg;1,19 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
lubenica;S399;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
mini lubenica;S402;1kg;1,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
granatno jabolko;S405;1kg;4,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
breskve;S408;1kg;4,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
borovnice;S411;1kg;15,92 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
slive ringlo;S414;1kg;2,99 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
èrno grozdje;S417;1kg;4,49 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
